session id,title,views,total favs,fav count,unfav count,session notes,space,pathway,language,etherpad,,Notes
528,Let us build our own offline Internet,96,37,41,4,0,Open science,,,,,
918,Science Fair,91,120,146,26,126,Programmatic Pieces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-science-fair,,
912,Painting with Virtual Reality and A-Painter,87,79,95,16,58,Dilemmas in Connected Spaces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-painting-with-virtual-reality-and-a-p,,
523,Connecting the Dots: Network Analysis for Organisational Value,85,27,27,0,22,Open science,,,https://public.etherpad-mozilla.org/p/mozfest-2016-connecting-the-dots--network-analysis,,
950,Databox,75,50,60,10,58,Dilemmas in connected spaces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-databox,,Used etherpad for an extended description
443,Nerdcator - Crowdsourced maps for nerd travellers,65,25,32,7,0,Open science,,,https://public.etherpad-mozilla.org/p/mozfest-2016-Nerdcator,,
128,Demystifying Artificial Intelligence,59,74,81,7,7,Open science,,,https://public.etherpad-mozilla.org/p/mozfest-2016-demystifying-artificial-intelligence,,
477,Beyond the Hero's Journey - What do we mean when we talk about 'storytelling'?,59,46,51,5,7,Digital arts and culture,Storytelling,,https://public.etherpad-mozilla.org/p/mozfest-2016-beyond-the-hero-s-journey---what-do-w,,
572,Imposter Syndrome: Do you need a science degree to communicate science?,59,27,34,7,0,Open science,,,,,
83,Getting New Characters and Emoji into Unicode,59,28,28,0,0,Localisation,,,https://public.etherpad-mozilla.org/p/mozfest-2016-getting-new-characters-and-emoji-into,,
609,Towards sustainable development: crowdsourced mapping to end FGM in Tanzania,58,35,35,0,28,Demystify the web,Multi-lingual MozFest,"Lithuanian, English",https://public.etherpad-mozilla.org/p/mozfest-2016-towards-sustainable-development--crow,,
474,Machine Learning for Humans,58,73,77,4,15,Open science,,,https://public.etherpad-mozilla.org/p/mozfest-2016-machine-learning-for-humans,,
34,Interactive Video 'Who Is Terror?' | Creative Coding,55,20,32,12,30,Demystify the web,,,https://public.etherpad-mozilla.org/p/mozfest-2016-interactive-video--who-is-terror,,
